Qty,Source,Identifier,Title,Source URL,Product Image,Price,Discounts and Taxes,Prep And Ship,Adjusted Price,In Stock,Amazon Title,Amazon URL,K URL,Camel Camel Camel URL,Amazon Seller Central URL,Amazon Image,Match Quality,Amazon Category,Brand,Variations,ASIN,Parent ASIN,Amazon UPC/EAN,UPC / EAN,Buy Box,Amazon Sells and In Stock,Amazon Buy Box Price,Average Price (30 days),Average Price (90 days),Amazon Return After Fees,GST/VAT to Remit,Gross Profit,Gross ROI,New Sellers,Competitive FBA Sellers,Potential Monthly Profit,Weight (lbs),Product Size,Sales Rank,Average Rank (30 Days),Average Rank (90 Days),Estimated Monthly Sales,Reviews,Rating,Last Update,Note,Amazon In Stock (30 days),Amazon In Stock (90 Days),Profit Margin,Length,Width,Height,WeightUnits,SizeUnits,Process ID,Process Name,Fulfillment Fee,Closing Fee,Referral Percent
1,target.com,,Westcott 12 Jewel Colored Ruler 12975,https://www.target.com/p/westcott-12-jewel-colored-ruler-12975/-/A-82575545,https://target.scene7.com/is/image/Target/GUEST_5c8a3881-13c1-4197-9fe4-2908fa86904a,$9.65,0.68,$0.50,$10.83,Yes,"Acme Transparent Jeweltone 12"" Plastic Ruler",https://amazon.com/dp/B007YCOFVW/,,http://camelcamelcamel.com/product/B007YCOFVW,https://www.amazon.com/dp/B007YCOFVW,https://m.media-amazon.com/images/I/31ns7HRm4gL.jpg,100,Office Products,Acme United,0,B007YCOFVW,,73577129757,73577129757,,,$41.53,,,$30.14,0,$19.31,178 %,1,0,-19.31,0.06,,0,0,0,,0,0,2022-05-12T17:07:19.000000Z,,0,0,64,0,0,0,hundredths-pounds,hundredths-inches,8237720,,,,
1,target.com,,Hoover High Performance Swivel Upright Vacuum Cleaner - UH75100,https://www.target.com/p/hoover-high-performance-swivel-upright-vacuum-cleaner-uh75100/-/A-81953887,https://target.scene7.com/is/image/Target/GUEST_b9c1f685-8512-44af-b895-281bf6cc06e4,$119.99,8.4,$0.00,$128.39,Yes,"Hoover Power Drive Bagless Multi Floor Upright Vacuum Cleaner with Swivel Steering, for Pet Hair, UH74210M, Purple",https://amazon.com/dp/B075785C8K/,,http://camelcamelcamel.com/product/B075785C8K,https://www.amazon.com/dp/B075785C8K,https://m.media-amazon.com/images/I/31dP-HJ8m+S.jpg,67,Home & Kitchen,Hoover,1,B075785C8K,,,73502047842,AMZ,yes,$214.99,,,$158.91,0,$30.52,24 %,8,1,549.36,20.3,Small Oversize,156496,0,0,36,1953,4.3,2022-05-14T02:26:44.000000Z,,15,67,19,2850,1350,1200,hundredths-pounds,hundredths-inches,8237720,,22.55,0,0.15%
1,target.com,,Sorrento Mid - Century Retro Modern Fabric Upholstered Wooden Lounge Chair - Gray - Baxton Studio,https://www.target.com/p/sorrento-mid-century-retro-modern-fabric-upholstered-wooden-lounge-chair-gray-baxton-studio/-/A-52433055,https://target.scene7.com/is/image/Target/GUEST_128718dd-7f8f-44e3-b948-91debca1e231,$251.99,17.64,$0.00,$269.63,Yes,"Baxton Studio Sorrento Mid-Century Retro Modern Fabric Upholstered Wooden 3-Seater Sofa, Grey & Sorrento Mid-Century Retro Modern Fabric Upholstered Wooden Lounge Chair, Grey",https://amazon.com/dp/B08C7WHT5N/,,http://camelcamelcamel.com/product/B08C7WHT5N,https://www.amazon.com/dp/B08C7WHT5N,https://m.media-amazon.com/images/I/41x17p5YFtL.jpg,90,Home & Kitchen,Baxton Studio,1,B08C7WHT5N,,,,AMZ,yes,$650.30,$557.98,$517.07,$547.60,0,$277.97,103 %,1,1,0,37.35,Small Oversize,3046332,2726875,2155577,0,4,4.6,2022-05-14T02:20:41.000000Z,,41,75,51,2820,2510,1570,hundredths-pounds,hundredths-inches,8237720,,,,
1,target.com,,Sorrento Mid - Century Retro Modern Fabric Upholstered Wooden Lounge Chair - Gray - Baxton Studio,https://www.target.com/p/sorrento-mid-century-retro-modern-fabric-upholstered-wooden-lounge-chair-gray-baxton-studio/-/A-52433055,https://target.scene7.com/is/image/Target/GUEST_128718dd-7f8f-44e3-b948-91debca1e231,$251.99,17.64,$0.50,$270.13,Yes,"Baxton Studio Sorrento Mid-Century Retro Modern Fabric Upholstered Wooden 3-Seater Sofa, Grey & Dahlia Mid-Century Modern Walnut Wood End Table, Walnut Brown",https://amazon.com/dp/B0953HYDPH/,,http://camelcamelcamel.com/product/B0953HYDPH,https://www.amazon.com/dp/B0953HYDPH,https://m.media-amazon.com/images/I/31k799WjcoS.jpg,78,Home & Kitchen,Baxton Studio,3,B0953HYDPH,B07N95L8L9,847321052567,,AMZ,yes,$522.28,,,$438.78,0,$168.65,62 %,1,1,674.6,0,,546456,0,0,8,290,4.1,2022-05-13T08:03:27.000000Z,,0,0,38,0,0,0,hundredths-pounds,hundredths-inches,8237720,,,,
1,target.com,,PUR Ultimate 30-Cup Dispenser with Lead Reduction,https://www.target.com/p/pur-ultimate-30-cup-dispenser-with-lead-reduction/-/A-53152142,https://target.scene7.com/is/image/Target/GUEST_15624d6b-3e00-434d-bf49-2b1b841da791,$35.99,2.52,$0.50,$39.01,Yes,"PUR PLUS Large Filtered Water Dispenser, 30 Cup – Includes 1 PUR PLUS Water Pitcher Filter",https://amazon.com/dp/B07CRSK5KX/,,http://camelcamelcamel.com/product/B07CRSK5KX,https://www.amazon.com/dp/B07CRSK5KX,https://m.media-amazon.com/images/I/31LG6OVHtSL.jpg,93,Tools & Home Improvement,Pur,1,B07CRSK5KX,B081R1XQ6W,723987018119,328785005035,MF,out of stock,$70.84,$83.96,$76.47,$50.50,0,$11.49,29 %,9,0,494.07,5.2,Large Standard-Size,47963,69751,48505,43,3437,4.5,2022-05-14T02:29:03.000000Z,,2,18,23,1610,1366,673,hundredths-pounds,hundredths-inches,8237720,,9.07,0,0.15%
1,target.com,,"Haden Heritage 4-Slice Wide Slot Stainless Steel Body Countertop Retro Toaster with Adjustable Browning Control, Turquoise",https://www.target.com/p/haden-heritage-4-slice-wide-slot-stainless-steel-body-countertop-retro-toaster-with-adjustable-browning-control-turquoise/-/A-79337151,https://target.scene7.com/is/image/Target/GUEST_e2f21b13-6159-486e-be66-8d89cd9d25c5,$79.99,5.6,$0.00,$85.59,Yes,Haden Heritage 4 Slice Wide Slot Stainless Steel Body Retro Toaster and Heritage 1.7 Liter Stainless Steel Body Retro Electric Kettle,https://amazon.com/dp/B0829D5NPX/,,http://camelcamelcamel.com/product/B0829D5NPX,https://www.amazon.com/dp/B0829D5NPX,https://m.media-amazon.com/images/I/41LVNh0VKIL.jpg,89,Kitchen & Dining,Haden,1,B0829D5NPX,B09L1LR3Y8,,,MF,out of stock,$149.98,$150.04,$152.87,$111.51,0,$25.92,30 %,1,0,596.16,11.65,Small Oversize,208657,135458,155428,23,52,4.7,2022-05-13T16:05:45.000000Z,,0,0,23,1530,1380,1030,hundredths-pounds,hundredths-inches,8237720,,15.37,0,0.15%
1,target.com,,"Marshmallow Furniture Comfy Foam Toddler Kid's Chair Armchair for Ages 18 Months Old and Up, Paw Patrol Skye, Pink",https://www.target.com/p/marshmallow-furniture-comfy-foam-toddler-kid-s-chair-armchair-for-ages-18-months-old-and-up-paw-patrol-skye-pink/-/A-80902190,https://target.scene7.com/is/image/Target/GUEST_3eb908d3-1732-486a-84ef-b04c7e4bfa6f,$77.99,5.46,$0.50,$83.95,Yes,"Toddler Kid's Comfy Foam Chair, Paw Patrol Skye",https://amazon.com/dp/B08R64BMH2/,,http://camelcamelcamel.com/product/B08R64BMH2,https://www.amazon.com/dp/B08R64BMH2,https://m.media-amazon.com/images/I/51fYwsy39pL.jpg,81,Home & Kitchen,N+a,1,B08R64BMH2,,,778988608661,MF,out of stock,$169.99,$140.68,$98.55,$139.33,0,$55.38,66 %,1,0,0,0,,2359834,2334531,2258694,0,13,5,2022-05-14T02:31:31.000000Z,,0,0,40,0,0,0,,,8237720,,,,
1,target.com,,"nuLOOM Ansley Shaggy Lattice Tassel Area Rug, 4' x 6', Beige",https://www.target.com/p/nuloom-ansley-shaggy-lattice-tassel-area-rug-4-x-6-beige/-/A-81574903,https://target.scene7.com/is/image/Target/GUEST_8258d9d8-84dd-45bf-ae33-504ac25dd4a2,$40.15,2.81,$0.50,$43.46,Yes,"nuLOOM Ansley Soft Lattice Textured Tassel Area Rug, 10' x 14', Beige",https://amazon.com/dp/B087X5XYXZ/,,http://camelcamelcamel.com/product/B087X5XYXZ,https://www.amazon.com/dp/B087X5XYXZ,https://m.media-amazon.com/images/I/51kFgjEJ21L.jpg,94,Home & Kitchen,Nuloom,16,B087X5XYXZ,B095T73C7K,,,AMZ,yes,$306.38,,,$104.87,0,$61.41,141 %,3,1,1166.79,0,,10013,0,0,38,1713,4.7,2022-05-13T23:28:52.000000Z,,36,43,59,0,0,0,hundredths-pounds,hundredths-inches,8237720,,158.49,0,0.13%
1,target.com,,"nuLOOM Ansley Shaggy Lattice Tassel Area Rug, 4' x 6', Beige",https://www.target.com/p/nuloom-ansley-shaggy-lattice-tassel-area-rug-4-x-6-beige/-/A-81574903,https://target.scene7.com/is/image/Target/GUEST_8258d9d8-84dd-45bf-ae33-504ac25dd4a2,$40.15,2.81,$0.00,$42.96,Yes,"nuLOOM Ansley Soft Lattice Textured Tassel Area Rug, 7' 10"" x 10' 10"", Beige",https://amazon.com/dp/B085WT1QDD/,,http://camelcamelcamel.com/product/B085WT1QDD,https://www.amazon.com/dp/B085WT1QDD,https://m.media-amazon.com/images/I/51kFgjEJ21L.jpg,93,Home & Kitchen,Nuloom,16,B085WT1QDD,B095T73C7K,193981284702,,AMZ,yes,$246.08,,,$182.79,0,$139.83,325 %,2,1,2726.69,31.35,Medium Oversize,8812,0,0,39,1723,4.7,2022-05-13T08:17:36.000000Z,,0,0,76,9300,700,550,hundredths-pounds,hundredths-inches,8237720,,27.69,0,0.14%
1,target.com,,"nuLOOM Ansley Shaggy Lattice Tassel Area Rug, 4' x 6', Beige",https://www.target.com/p/nuloom-ansley-shaggy-lattice-tassel-area-rug-4-x-6-beige/-/A-81574903,https://target.scene7.com/is/image/Target/GUEST_8258d9d8-84dd-45bf-ae33-504ac25dd4a2,$40.15,2.81,$0.00,$42.96,Yes,"nuLOOM Ansley Soft Lattice Textured Tassel Area Rug, 6' 7"" x 9', Beige",https://amazon.com/dp/B085WSZJNX/,,http://camelcamelcamel.com/product/B085WSZJNX,https://www.amazon.com/dp/B085WSZJNX,https://m.media-amazon.com/images/I/51TDeHZbk6L.jpg,91,Home & Kitchen,Nuloom,16,B085WSZJNX,B095T73C7K,193981284696,,AMZ,yes,$179.99,,,$128.25,0,$85.29,199 %,4,1,1407.29,24,Medium Oversize,8730,0,0,33,1792,4.7,2022-05-13T13:07:30.000000Z,,0,0,67,7500,600,600,hundredths-pounds,hundredths-inches,8237720,,22.85,0,0.15%
1,target.com,,"nuLOOM Ansley Shaggy Lattice Tassel Area Rug, 4' x 6', Beige",https://www.target.com/p/nuloom-ansley-shaggy-lattice-tassel-area-rug-4-x-6-beige/-/A-81574903,https://target.scene7.com/is/image/Target/GUEST_8258d9d8-84dd-45bf-ae33-504ac25dd4a2,$40.15,2.81,$0.00,$42.96,Yes,"nuLOOM Ansley Soft Lattice Textured Tassel Area Rug, 9' x 12', Beige",https://amazon.com/dp/B086JT63RZ/,,http://camelcamelcamel.com/product/B086JT63RZ,https://www.amazon.com/dp/B086JT63RZ,https://m.media-amazon.com/images/I/51TDeHZbk6L.jpg,91,Home & Kitchen,Nuloom,16,B086JT63RZ,B095T73C7K,193981284719,,MF,out of stock,$319.45,,,$219.07,0,$176.11,410 %,8,1,3169.98,40,Small Oversize,8812,0,0,36,1755,4.7,2022-05-13T08:17:20.000000Z,,0,0,80,5800,2700,800,hundredths-pounds,hundredths-inches,8237720,,54.95,0,0.14%
1,target.com,,50x60 Velvet Plush Throw Blanket Light Blue - Truly Soft,https://www.target.com/p/50-34-x60-34-velvet-plush-throw-blanket-light-blue-truly-soft/-/A-83023466,https://target.scene7.com/is/image/Target/GUEST_9a19c4e7-d81a-4944-8523-f2f2bf330343,$10.63,0.74,$0.50,$11.87,Yes,"Truly Soft Everyday Truly Soft Velvet Plush Blanket, Full/Queen, Light Blue",https://amazon.com/dp/B07TPYMQ2F/,,http://camelcamelcamel.com/product/B07TPYMQ2F,https://www.amazon.com/dp/B07TPYMQ2F,https://m.media-amazon.com/images/I/41xxwsomHhL.jpg,93,Home & Kitchen,Truly Soft Everyday,18,B07TPYMQ2F,B07YCJTQGH,783048104519,,AMZ,yes,$29.99,$29.99,$29.99,$15.87,0,$4.00,34 %,2,1,26,3.5,Large Standard-Size,630902,725794,648773,13,0,0,2022-05-13T21:09:02.000000Z,,37,75,25,1670,1370,660,hundredths-pounds,hundredths-inches,8237720,,8.96,0,0.15%
1,target.com,,50x60 Velvet Plush Throw Blanket Light Blue - Truly Soft,https://www.target.com/p/50-34-x60-34-velvet-plush-throw-blanket-light-blue-truly-soft/-/A-83023466,https://target.scene7.com/is/image/Target/GUEST_9a19c4e7-d81a-4944-8523-f2f2bf330343,$10.63,0.74,$0.50,$11.87,Yes,"Truly Soft Everyday Reversible Velvet Plush Throw (50"" x 60"") - Soft and Luxurious for Family and Friends - Light Blue (TH3167LB-9100)",https://amazon.com/dp/B091W2SZKM/,,http://camelcamelcamel.com/product/B091W2SZKM,https://www.amazon.com/dp/B091W2SZKM,https://m.media-amazon.com/images/I/313eWFjbL8L.jpg,89,Home & Kitchen,Truly Soft Everyday,6,B091W2SZKM,B091Y85W92,783048141248,,AMZ,yes,$28.96,,,$15.78,0,$3.91,33 %,2,1,0,5,Large Standard-Size,2597333,0,0,0,0,0,2022-05-13T08:13:32.000000Z,,0,0,25,1400,1400,600,hundredths-pounds,hundredths-inches,8237720,,8.33,0,0.15%
1,target.com,,"nuLOOM Handwoven Solid Elfriede Area Rug, 5' x 8', Natural",https://www.target.com/p/nuloom-handwoven-solid-elfriede-area-rug-5-x-8-natural/-/A-81570704,https://target.scene7.com/is/image/Target/GUEST_88399e6e-94f5-4705-8ba3-6f22d9f165a8,$39.25,2.75,$0.00,$42.00,Yes,"nuLOOM Elfriede Handwoven Solid Jute Rug, 6' x 9', Natural",https://amazon.com/dp/B07CW7RFTC/,,http://camelcamelcamel.com/product/B07CW7RFTC,https://www.amazon.com/dp/B07CW7RFTC,https://m.media-amazon.com/images/I/51D8HTF9qOL.jpg,94,Home & Kitchen,Nuloom,15,B07CW7RFTC,B084HH5Z9K,,,AMZ,yes,$171.14,$172.18,$204.58,$119.36,0,$77.36,184 %,2,1,1469.84,26.05,Medium Oversize,268920,227749,541121,38,25,4.3,2022-05-13T21:30:46.000000Z,,43,25,65,7300,600,600,hundredths-pounds,hundredths-inches,8237720,,25.38,0,0.15%
1,target.com,,"nuLOOM Handwoven Solid Elfriede Area Rug, 5' x 8', Natural",https://www.target.com/p/nuloom-handwoven-solid-elfriede-area-rug-5-x-8-natural/-/A-81570704,https://target.scene7.com/is/image/Target/GUEST_88399e6e-94f5-4705-8ba3-6f22d9f165a8,$39.25,2.75,$0.00,$42.00,Yes,"nuLOOM Elfriede Handwoven Solid Jute Area Rug, 5' x 8', Natural",https://amazon.com/dp/B077JHRWGS/,,http://camelcamelcamel.com/product/B077JHRWGS,https://www.amazon.com/dp/B077JHRWGS,https://m.media-amazon.com/images/I/51D8HTF9qOL.jpg,94,Home & Kitchen,Nuloom,15,B077JHRWGS,B084HH5Z9K,842736132842,,AMZ,yes,$116.38,,,$77.69,0,$35.69,85 %,2,1,571.04,17,Small Oversize,225506,0,0,32,25,4,2022-05-13T06:45:37.000000Z,,0,0,46,6000,800,800,hundredths-pounds,hundredths-inches,8237720,,20.16,0,0.15%
1,target.com,,"nuLOOM Handwoven Solid Elfriede Area Rug, 5' x 8', Natural",https://www.target.com/p/nuloom-handwoven-solid-elfriede-area-rug-5-x-8-natural/-/A-81570704,https://target.scene7.com/is/image/Target/GUEST_88399e6e-94f5-4705-8ba3-6f22d9f165a8,$39.25,2.75,$0.00,$42.00,Yes,"nuLOOM Elfriede Handwoven Solid Jute Rug, 7' 6"" x 9' 6"", Natural",https://amazon.com/dp/B077JHRYPS/,,http://camelcamelcamel.com/product/B077JHRYPS,https://www.amazon.com/dp/B077JHRYPS,https://m.media-amazon.com/images/I/51ar1cVEIpL.jpg,94,Home & Kitchen,Nuloom,15,B077JHRYPS,B084HH5Z9K,842736132859,,AMZ,yes,$230.52,,,$157.57,0,$115.57,275 %,1,1,2080.26,30,Medium Oversize,225506,0,0,36,25,4.3,2022-05-13T06:45:46.000000Z,,0,0,73,9100,900,900,hundredths-pounds,hundredths-inches,8237720,,37.85,0,0.14%
